name_acc,id_acc,currency_acc,spend,date1,date2,day,note,,,,,,,
Santa 152,991571676426408,USD,"2.367,16",17-10-2025,17-10-2025,17,,,,,,,,
Santa 162,1632591930734140,USD,"630,08",17-10-2025,17-10-2025,17,,,,,,,,
Santa 732 red,1358922055375322,USD,"586,93",17-10-2025,17-10-2025,17,,,,,,,,
Santa 168,1322299982895460,USD,"169,94",17-10-2025,17-10-2025,17,,,,,,,,
Santa 172,1416715943077936,USD,"2,05",17-10-2025,17-10-2025,17,,,,,,,,
Santa 566,1724507704769398,USD,"383,61",17-10-2025,17-10-2025,17,,,,,,,,
Santa 174,9429815477138086,USD,"0,57",17-10-2025,17-10-2025,17,,,,,,,,
S - 88392,9592115337544302,USD,"169,93",17-10-2025,17-10-2025,17,,,,,,,,
S - 298392,710169788350374,USD,"428,31",17-10-2025,17-10-2025,17,,,,,,,,
S - 123,569625696147387,USD,"46,03",17-10-2025,17-10-2025,17,,,,,,,,
S - 123,1394402868409863,USD,"56,84",17-10-2025,17-10-2025,17,,,,,,,,
S - 123,1007519208018870,USD,"0,06",17-10-2025,17-10-2025,17,,,,,,,,
S - 12316,1709006976395953,USD,"6,48",17-10-2025,17-10-2025,17,,,,,,,,
78,2535928983421481,USD,"362,07",17-10-2025,17-10-2025,17,,,,,,,,
S - 12328,1210002444106815,USD,"240,19",17-10-2025,17-10-2025,17,,,,,,,,
NHD - 107,884229909829375,USD,"216,45",17-10-2025,17-10-2025,17,,,,,,,,
S-6521,948978353326521,USD,"864,18",17-10-2025,17-10-2025,17,,,,,,,,
S-2216,733694615362216,USD,"201,66",17-10-2025,17-10-2025,17,,,,,,,,
S-8560,759395526038560,USD,"157,61",17-10-2025,17-10-2025,17,,,,,,,,
S-1318,892153182611318,USD,"136,14",17-10-2025,17-10-2025,17,,,,,,,,
S-12312,1517335082451351,USD,"68,81",17-10-2025,17-10-2025,17,,,,,,,,
S-135,1288846081807744,USD,"37,55",17-10-2025,17-10-2025,17,,,,,,,,
S-1234,332405436352779,USD,"844,27",17-10-2025,17-10-2025,17,,,,,,,,
A MAY141,1788538461595418,USD,"137,77",17-10-2025,17-10-2025,17,,,,,,,,
S - 15826,1239221057574458,USD,"180,37",17-10-2025,17-10-2025,17,,,,,,,,
S - 533,1344704456798471,VND,"0,21",17-10-2025,17-10-2025,17,,,,,,,,
S - 539,682549320836513,VND,"0,21",17-10-2025,17-10-2025,17,,,,,,,,
Visa · 4641,1006121864403937,VND,"93,94",17-10-2025,17-10-2025,17,,,,,,,,
Visa · 4641,531354790014319,VND,"30,82",17-10-2025,17-10-2025,17,,,,,,,,
Visa · 4641 - 1000 VND,2079624795834752,VND,"47,01",17-10-2025,17-10-2025,17,,,,,,,,
