name_acc,id_acc,currency_acc,spend,date1,date2,day,note,,,
lele46,2357184581329713,USD,"4,84",25-10-2025,25-10-2025,25,,
1695385441098596,1695385441098596,USD,"1.026,23",25-10-2025,25-10-2025,25,,
lele46 bill đỏ,1215474416342328,USD,"61,28",25-10-2025,25-10-2025,25,,
10016385785051044,10016385785051044,USD,"37,96",25-10-2025,25-10-2025,25,,
lele46,602695515495437,USD,"375,75",25-10-2025,25-10-2025,25,,
SD Agency - 45693,1760422828158047,EUR,"283,64",25-10-2025,25-10-2025,25,,
S-5444,1747125329555444,USD,"18,30",25-10-2025,25-10-2025,25,,
Roimed Fusion 12 13.7 3,689166497374126,USD,"209,65",25-10-2025,25-10-2025,25,,
RoiBogdan 53 24.10 5,2194118307686404,USD,"262,02",25-10-2025,25-10-2025,25,,
Solo Leveling 23.9 1,967690425575108,USD,"24,67",25-10-2025,25-10-2025,25,,
Valorie 1 5/6 4,2200011480444677,USD,"24,05",25-10-2025,25-10-2025,25,,
64,1738815490400300,USD,"164,72",25-10-2025,25-10-2025,25,,
62,1347062323022243,USD,"12,84",25-10-2025,25-10-2025,25,,
54,1082309407289923,USD,"73,54",25-10-2025,25-10-2025,25,,
53,726506113140555,USD,"4.147,84",25-10-2025,25-10-2025,25,,
1548,1254280409728727,USD,"124,36",25-10-2025,25-10-2025,25,,
1551,2047340152420353,USD,"12,50",25-10-2025,25-10-2025,25,,
1552,978419774368232,USD,"7,61",25-10-2025,25-10-2025,25,,
1553,1023707236517823,USD,"43,13",25-10-2025,25-10-2025,25,,
991504553144022,991504553144022,USD,"40,06",25-10-2025,25-10-2025,25,,
1730,1668091773827716,USD,"39,43",25-10-2025,25-10-2025,25,,
S-1234,562542780251289,USD,"108,06",25-10-2025,25-10-2025,25,,
1816 red,1587146468622328,USD,"365,33",25-10-2025,25-10-2025,25,,
S-692082336071517,692082336071517,GBP,"15,54",25-10-2025,25-10-2025,25,,
67,4082482158738830,USD,"47,60",25-10-2025,25-10-2025,25,,
65,671360302450899,USD,"147,03",25-10-2025,25-10-2025,25,,
63 - XM,709275878269796,USD,"65,26",25-10-2025,25-10-2025,25,,
58 - XM,3865518246927469,USD,"1.012,57",25-10-2025,25-10-2025,25,,
- XM,872307575073608,USD,"105,69",25-10-2025,25-10-2025,25,,
54,1403952363958565,USD,"47,84",25-10-2025,25-10-2025,25,,
53,9991372300925045,USD,"276,60",25-10-2025,25-10-2025,25,,
51,1407291340626868,USD,"59,94",25-10-2025,25-10-2025,25,,
"Visa · 7619 - 0,00 USD - XM",2130671120680168,USD,"284,15",25-10-2025,25-10-2025,25,,
S 19 - 2,1038175121008894,USD,"0,19",25-10-2025,25-10-2025,25,,
Visa · 7627,855945796737355,USD,"13,87",25-10-2025,25-10-2025,25,,
Visa · 7627,1683403302543223,USD,"157,95",25-10-2025,25-10-2025,25,,
Visa · 7627,23887144480920210,USD,"267,88",25-10-2025,25-10-2025,25,,
S-1247184470308567,1247184470308567,USD,"33,29",25-10-2025,25-10-2025,25,,
S-1005548825061443,1005548825061443,USD,"106,33",25-10-2025,25-10-2025,25,,
S-1413406019794518,1413406019794518,USD,"45,80",25-10-2025,25-10-2025,25,,
RoiBogdan 43 15.7 0,725809383117823,USD,"9,78",25-10-2025,25-10-2025,25,,
L8 2,665122496329124,USD,"174,05",25-10-2025,25-10-2025,25,,
S - 933,1579983169384266,VND,"72,93",25-10-2025,25-10-2025,25,,
Verza,1635932983959077,VND,"35,20",25-10-2025,25-10-2025,25,,
pam 1018578600179448,1018578600179448,VND,"569,94",25-10-2025,25-10-2025,25,,
Visa · 4518,2396689410731173,VND,"330,73",25-10-2025,25-10-2025,25,,
S - 1420104222696023,1420104222696023,VND,"18,01",25-10-2025,25-10-2025,25,,
S - 645892328191268,645892328191268,VND,"36,70",25-10-2025,25-10-2025,25,,
bao anh,2170085786781427,VND,"149,46",25-10-2025,25-10-2025,25,,
667188432352826 pam,667188432352826,VND,"702,81",25-10-2025,25-10-2025,25,,
1314032279741991 pam,1314032279741991,VND,"2.659,51",25-10-2025,25-10-2025,25,,
S - 83439,721434823907666,USD,"41,01",25-10-2025,25-10-2025,25,,
424,1230097701936266,USD,"36,59",25-10-2025,25-10-2025,25,,
